score,agent_a,agent_b,u,raw_p,holm_p
vader,Claude_Code,Copilot,3835702.5,1.0110241539602317e-22,1.0110241539602317e-21
vader,Claude_Code,Cursor,153461.5,4.420992502656303e-05,0.0001768397001062521
vader,Claude_Code,Devin,1345792.5,2.8384015551843256e-12,2.2707212441474605e-11
vader,Claude_Code,OpenAI_Codex,435144.5,6.843113635194334e-08,4.105868181116601e-07
vader,Copilot,Cursor,3819500.5,8.458816836624894e-07,4.229408418312447e-06
vader,Copilot,Devin,33799226.0,7.875531541916213e-14,7.087978387724592e-13
vader,Copilot,OpenAI_Codex,10836752.5,1.040768927998652e-11,7.285382495990564e-11
vader,Cursor,Devin,1672940.0,0.06300716265013283,0.1661324857710093
vader,Cursor,OpenAI_Codex,543083.0,0.38164081979898434,0.38164081979898434
vader,Devin,OpenAI_Codex,4333429.0,0.055377495257003105,0.1661324857710093
