,OR,CI_lo,CI_hi,p
Intercept,0.008032429892311737,0.0026960063164030265,0.02393166869912408,4.674798896391728e-18
"C(agent, Treatment('OpenAI_Codex'))[T.Claude_Code]",1.7929144391171237,0.9903230766715929,3.245953024540762,0.053873157544791404
"C(agent, Treatment('OpenAI_Codex'))[T.Copilot]",5.992565820696428,3.8070612601048763,9.432694317713656,1.0290674267539546e-14
"C(agent, Treatment('OpenAI_Codex'))[T.Cursor]",2.251916769061227,1.1925152295023929,4.25246488205875,0.01232204092006686
"C(agent, Treatment('OpenAI_Codex'))[T.Devin]",3.626910454524275,1.9439183584244104,6.766991724796244,5.14655831573679e-05
"C(type, Treatment('feat'))[T.build]",1.3166008100764304,0.9598919906015534,1.8058674414061806,0.08799667904108639
"C(type, Treatment('feat'))[T.chore]",2.308341605867801,1.4574438001252341,3.6560181386908224,0.0003631960178604367
"C(type, Treatment('feat'))[T.ci]",2.2078981800596873,1.4828762918750944,3.2874046204802996,9.624449076665984e-05
"C(type, Treatment('feat'))[T.docs]",1.9733789467366587,1.497228661112521,2.6009550635571377,1.401406926204559e-06
"C(type, Treatment('feat'))[T.fix]",1.5188992860278585,1.2533818280181155,1.8406641851062437,2.010335241687748e-05
"C(type, Treatment('feat'))[T.other]",0.26951174904531816,0.057066218997773546,1.2728473017688542,0.09784975247323113
"C(type, Treatment('feat'))[T.perf]",0.870764011456721,0.5294613101827839,1.4320781312357644,0.5856363520572974
"C(type, Treatment('feat'))[T.refactor]",1.738988388209987,1.3688846147602882,2.2091566971542953,5.852693276822777e-06
"C(type, Treatment('feat'))[T.revert]",4.0665532138110825,1.1087960089911453,14.914244736327603,0.03436819795322918
"C(type, Treatment('feat'))[T.style]",1.619408135626024,0.9850755934322226,2.6622146840471816,0.05734442663918208
"C(type, Treatment('feat'))[T.test]",0.8945260065174524,0.6727668870985369,1.1893819266090948,0.44319503593000154
C(lang_group)[T.C++],1.065259309867598,0.5832568446231987,1.945587793303465,0.8370214323555124
C(lang_group)[T.Go],0.6161930177650349,0.17826952408079152,2.129886401504633,0.4441740386095304
C(lang_group)[T.HTML],0.735868843110661,0.3431388392110669,1.5780870376143596,0.4307356770436579
C(lang_group)[T.Java],0.5694674854133079,0.30723165587244355,1.0555332132753796,0.0737261922937778
C(lang_group)[T.JavaScript],1.4173614465965885,0.5713303919770715,3.5162027060149725,0.4518035985787
C(lang_group)[T.Python],0.6939456271959498,0.35466271283795514,1.3577985958856755,0.28604102207233084
C(lang_group)[T.Ruby],0.2448687436006146,0.09601756342636689,0.6244763921605413,0.0032222976869319972
C(lang_group)[T.Rust],1.2982262613086912,0.6847234506616823,2.4614191669978074,0.42393076869160184
C(lang_group)[T.TypeScript],0.9072766932847504,0.5386306482694494,1.5282290393656368,0.7145353218746442
C(lang_group)[T.other],1.0103019955687067,0.6383402239447875,1.5990064294278226,0.9651016576142574
log_stars,1.1513539825050763,1.0451996550435358,1.2682897345341004,0.004294099495687555
log_commits,3.307659545654303,2.7749014724536867,3.942702751274218,1.1856607792577437e-40
