,OR,CI_lo,CI_hi,p
Intercept,0.035434428954418534,0.013698259209923463,0.09166119111077548,5.6598959986148855e-12
"C(agent, Treatment('OpenAI_Codex'))[T.Claude_Code]",0.8769403530867724,0.37972747152165626,2.0252008099132084,0.7584607464302139
"C(agent, Treatment('OpenAI_Codex'))[T.Copilot]",3.3979554140329467,2.295981187018343,5.028830837568867,9.622771159848495e-10
"C(agent, Treatment('OpenAI_Codex'))[T.Cursor]",0.5382017902431064,0.2555212951434829,1.1336087149144705,0.10309925138061192
"C(agent, Treatment('OpenAI_Codex'))[T.Devin]",1.8139795127564997,1.104956396390071,2.9779651789433053,0.018543855126225126
"C(type, Treatment('feat'))[T.build]",0.5994439104639369,0.320014893097575,1.1228633714954412,0.11002288594234845
"C(type, Treatment('feat'))[T.chore]",0.44419803462825974,0.282634091438843,0.6981178136123875,0.00043505889823918284
"C(type, Treatment('feat'))[T.ci]",0.7106138602455097,0.32580286501547173,1.5499313007853526,0.3905562526941373
"C(type, Treatment('feat'))[T.docs]",0.9708187014867449,0.6425981441305088,1.4666848321382548,0.8881265987382895
"C(type, Treatment('feat'))[T.fix]",0.7762526459275598,0.6173475208100316,0.9760599176277539,0.030210984872057464
"C(type, Treatment('feat'))[T.other]",0.9729312110935358,0.22145645406384004,4.274407560264899,0.9710119271309776
"C(type, Treatment('feat'))[T.perf]",1.0178225010504311,0.3590937006304609,2.884936833549892,0.9734884436737923
"C(type, Treatment('feat'))[T.refactor]",0.5039660683123421,0.3471136278630442,0.7316964176076957,0.00031568679263981855
"C(type, Treatment('feat'))[T.revert]",0.9069377599403013,0.31685519745847807,2.595936904312009,0.8555411884678029
"C(type, Treatment('feat'))[T.style]",0.8356916403680199,0.32207466764542486,2.1683807760685045,0.7121495104354094
"C(type, Treatment('feat'))[T.test]",0.8214401621286759,0.49680296980693806,1.3582123718386876,0.44329492024284156
C(lang_group)[T.C++],1.0285999792792349,0.4440835921488543,2.382474687375076,0.9475368825565543
C(lang_group)[T.Go],0.6443184925798645,0.28852238552424325,1.438870398655795,0.2835751664735069
C(lang_group)[T.HTML],0.8885341394097737,0.26578732681104184,2.9703933831952303,0.8477989553124833
C(lang_group)[T.Java],0.6691354112578329,0.14500442286008475,3.0877830466675977,0.6065973439737505
C(lang_group)[T.JavaScript],0.3902978429775177,0.14658396908445892,1.0392160014792067,0.059703327726336824
C(lang_group)[T.Python],0.8749460104979793,0.4081269291177424,1.875716760325508,0.7313307732016748
C(lang_group)[T.Ruby],0.9483406912604629,0.17460795493677103,5.1506820924971315,0.9510123770105244
C(lang_group)[T.Rust],1.2907361453707784,0.5813884472934178,2.865553666782462,0.530540413457453
C(lang_group)[T.TypeScript],0.9220952393747835,0.4525222925770197,1.8789342413068515,0.8232814382374776
C(lang_group)[T.other],1.5711204258826073,0.7550674205222047,3.26913772934129,0.22686694237946103
log_stars,0.9780390126819483,0.8885739053951195,1.076511818004074,0.6500584083400008
log_commits,2.043043955405189,1.76236384373667,2.3684261445512034,2.6646634185749424e-21
