,OR,CI_lo,CI_hi,p
Intercept,5.151085053856107,1.5388693061955863,17.24232014066009,0.007831686510227264
"C(agent, Treatment('OpenAI_Codex'))[T.Claude_Code]",1.030937436770362,0.5127575964514743,2.0727766997309165,0.9318613415367316
"C(agent, Treatment('OpenAI_Codex'))[T.Copilot]",0.7421312533510241,0.43229704802233004,1.2740285868709262,0.2794240991242909
"C(agent, Treatment('OpenAI_Codex'))[T.Cursor]",1.774047099519895,0.9170870466530266,3.4317823185934593,0.08859402554875753
"C(agent, Treatment('OpenAI_Codex'))[T.Devin]",1.010403681879377,0.5671633129317988,1.800038149643445,0.9719769012057291
"C(type, Treatment('feat'))[T.build]",1.9149375722763962,1.1594183267204616,3.1627806989115648,0.011156695690981391
"C(type, Treatment('feat'))[T.chore]",2.572996085852759,1.5269471762048847,4.335650218279265,0.00038547495549997186
"C(type, Treatment('feat'))[T.ci]",1.314956463590783,0.8107974105130056,2.132604863704659,0.2670747580869294
"C(type, Treatment('feat'))[T.docs]",1.9406474743944477,1.3854851628339908,2.7182626858089316,0.0001150656448063059
"C(type, Treatment('feat'))[T.fix]",1.4417992421860135,1.2019436153743337,1.7295196115507845,8.102667967494284e-05
"C(type, Treatment('feat'))[T.other]",1.0751544044609999e-34,3.1579809267826245e-35,3.66043057330807e-34,0.0
"C(type, Treatment('feat'))[T.perf]",0.7527371613004319,0.38470687452606456,1.4728440574415662,0.40689099495616154
"C(type, Treatment('feat'))[T.refactor]",1.767947491297669,1.3289860008396654,2.351897108028914,9.109935687524388e-05
"C(type, Treatment('feat'))[T.revert]",3.700813906171457,0.5629166892703183,24.330462800570952,0.17322637051746925
"C(type, Treatment('feat'))[T.style]",1.29351427564844,0.5643160045307931,2.9649685067810396,0.5431206980667652
"C(type, Treatment('feat'))[T.test]",1.1923046787857716,0.8357208703997612,1.701034995541555,0.33198178524120947
C(lang_group)[T.C++],0.412512715463583,0.1829231641166178,0.9302634865350007,0.03282723225361422
C(lang_group)[T.Go],0.4141277040401955,0.15181534431408625,1.1296733938750545,0.08510138031488977
C(lang_group)[T.HTML],0.25961562534289867,0.05814583582179506,1.1591590690819578,0.07731271968126516
C(lang_group)[T.Java],0.8147242615365006,0.399725004089779,1.6605806880850285,0.5727556765220962
C(lang_group)[T.JavaScript],1.584672894071654,0.6784592519955769,3.701310246443221,0.28747628243454504
C(lang_group)[T.Python],0.9029352753475409,0.5435006040681502,1.500075814754217,0.6934084712166786
C(lang_group)[T.Ruby],0.251801511975596,0.08225336589204878,0.7708377735740214,0.015695746995755405
C(lang_group)[T.Rust],0.628993424846811,0.30975799425868966,1.2772316964646737,0.19953156907510428
C(lang_group)[T.TypeScript],0.9745420534209076,0.5765952572132944,1.6471384424421547,0.923279390054138
C(lang_group)[T.other],0.5341810788533714,0.304163626214227,0.9381444736063737,0.02909610715177626
log_stars,1.000687104357909,0.9266588293442546,1.0806292986350052,0.9860248065520045
log_commits,0.5527506000150124,0.4671362080998969,0.654055970227035,5.031605251825711e-12
