id,agent,user,user_id,repo_id,html_url,api_url,status,http_status,additions,deletions,changed_files,commits,author_association,draft,maintainer_can_modify,github_merged,github_state,rate_limit_remaining,rate_limit_reset,fetched_at,error
3137613966,OpenAI_Codex,forntoh,27886627,267951056,https://github.com/forntoh/LcdMenu/pull/368,https://api.github.com/repos/forntoh/LcdMenu/pulls/368,ok,200,233,3,6,10,OWNER,True,False,False,closed,,,2026-06-03T20:37:18.870748+00:00,
3187312401,Cursor,talboren,68807791,597502256,https://github.com/keephq/keep/pull/5113,https://api.github.com/repos/keephq/keep/pulls/5113,ok,200,172,24,5,6,MEMBER,False,False,True,closed,,,2026-06-03T20:37:20.040834+00:00,
3070674758,OpenAI_Codex,knaeckeKami,1313079,201116626,https://github.com/gql-dart/gql/pull/490,https://api.github.com/repos/gql-dart/gql/pulls/490,ok,200,2,2,2,1,COLLABORATOR,False,False,False,open,,,2026-06-03T20:37:21.272886+00:00,
3196281861,Cursor,ramiAbdou,38056800,778399384,https://github.com/colorstackorg/oyster/pull/852,https://api.github.com/repos/colorstackorg/oyster/pulls/852,ok,200,3453,11982,40,14,MEMBER,False,False,True,closed,,,2026-06-03T20:37:22.403673+00:00,
3074258030,OpenAI_Codex,ObservedObserver,22167673,602389947,https://github.com/Kanaries/pygwalker/pull/700,https://api.github.com/repos/Kanaries/pygwalker/pulls/700,ok,200,483,2,11,5,MEMBER,False,False,True,closed,,,2026-06-03T20:37:23.780474+00:00,
3222147217,Cursor,wtfsayo,82053242,826170402,https://github.com/elizaOS/eliza/pull/5535,https://api.github.com/repos/elizaOS/eliza/pulls/5535,ok,200,478,9,3,1,CONTRIBUTOR,False,False,True,closed,,,2026-06-03T20:37:25.071030+00:00,
3136716637,Cursor,jannikmaierhoefer,48529566,643978507,https://github.com/langfuse/langfuse-docs/pull/1630,https://api.github.com/repos/langfuse/langfuse-docs/pulls/1630,ok,200,55,23,1,1,MEMBER,False,False,True,closed,,,2026-06-03T20:37:26.507502+00:00,
3240646305,OpenAI_Codex,dlwh,9633,496005961,https://github.com/stanford-crfm/levanter/pull/1069,https://api.github.com/repos/marin-community/levanter/pulls/1069,ok,200,3,0,1,1,MEMBER,False,False,True,closed,,,2026-06-03T20:37:28.170359+00:00,
3264839247,Cursor,olliethedev,5933733,858930584,https://github.com/olliethedev/ui-builder/pull/33,https://api.github.com/repos/olliethedev/ui-builder/pulls/33,ok,200,1387,9,8,1,OWNER,True,False,False,closed,,,2026-06-03T20:37:29.605163+00:00,
3137604936,OpenAI_Codex,forntoh,27886627,267951056,https://github.com/forntoh/LcdMenu/pull/367,https://api.github.com/repos/forntoh/LcdMenu/pulls/367,ok,200,49,0,1,1,OWNER,False,False,True,closed,,,2026-06-03T20:37:31.169315+00:00,
3124970716,OpenAI_Codex,karakanb,16530606,674225653,https://github.com/bruin-data/bruin/pull/743,https://api.github.com/repos/bruin-data/bruin/pulls/743,ok,200,275,18,12,3,CONTRIBUTOR,False,False,True,closed,,,2026-06-03T20:37:32.660309+00:00,
3207286828,Cursor,areibman,14807319,679017521,https://github.com/AgentOps-AI/agentops/pull/1134,https://api.github.com/repos/AgentOps-AI/agentops/pulls/1134,ok,200,456,89,2,3,CONTRIBUTOR,False,False,True,closed,,,2026-06-03T20:37:34.098960+00:00,
