agent,user,user_id,repo_id,pair_prs,observed_pair_prs_all_aidev,merged_rate,median_account_age_years,human_review_rate,human_discussion_rate,is_extreme_pair
OpenAI_Codex,tamnd,1218621,985853139,8913,8913,85.65017390328732,13.620084258625498,0.0,0.07853696847301694,True
OpenAI_Codex,MontrealAI,24208299,922805069,3569,3569,98.48697114037546,8.53103864045428,0.0,0.0,True
OpenAI_Codex,buddhika75,1226946,21764480,419,421,97.3747016706444,13.583554516186275,4.05727923627685,4.295942720763723,True
Claude_Code,buddhika75,1226946,21764480,2,421,100.0,13.657968048901058,0.0,0.0,True
Devin,devin-ai-integration[bot],158243242,839216423,343,343,71.42857142857143,1.3442261135194058,76.96793002915452,79.30029154518951,True
Devin,devin-ai-integration[bot],158243242,710601088,327,327,12.844036697247708,1.1885196592896798,15.59633027522936,81.03975535168195,True
Cursor,wieslawsoltes,2297442,134182879,1,306,0.0,12.884427649757903,0.0,0.0,True
OpenAI_Codex,wieslawsoltes,2297442,134182879,305,306,56.0655737704918,12.839362087104217,0.32786885245901637,0.32786885245901637,True
OpenAI_Codex,jdereg,5373774,12670630,228,228,98.24561403508771,11.78045901779603,0.43859649122807015,0.8771929824561403,True
OpenAI_Codex,MihaiCristianCondrea,61864357,600355571,227,227,96.0352422907489,5.340272295738586,1.762114537444934,1.762114537444934,True
Devin,devin-ai-integration[bot],158243242,350360184,220,220,35.90909090909091,1.2960858557051234,52.72727272727272,57.27272727272727,True
Devin,devin-ai-integration[bot],158243242,283046497,216,216,50.0,1.1927475948741348,58.79629629629629,67.5925925925926,True
Devin,devin-ai-integration[bot],158243242,955904085,205,205,78.53658536585367,1.3083694577534413,14.146341463414632,39.02439024390244,True
OpenAI_Codex,ryokun6,2830514,923332984,88,174,63.63636363636363,12.505224716074732,0.0,0.0,True
Cursor,ryokun6,2830514,923332984,86,174,77.90697674418605,12.644650306106929,0.0,1.1627906976744187,True
Devin,devin-ai-integration[bot],158243242,941289933,171,171,82.45614035087719,1.2361138996628387,32.16374269005848,43.27485380116959,True
OpenAI_Codex,wieslawsoltes,2297442,792160692,165,165,70.9090909090909,12.71838206961239,0.0,0.0,True
OpenAI_Codex,peter-lawrey,1070321,29301872,164,164,92.6829268292683,13.6917885390524,0.0,0.0,True
Devin,devin-ai-integration[bot],158243242,959682770,148,148,83.1081081081081,1.3835906247623395,6.756756756756757,22.2972972972973,True
Devin,devin-ai-integration[bot],158243242,820087727,145,145,33.793103448275865,1.078750507009405,0.6896551724137931,8.96551724137931,True
Devin,devin-ai-integration[bot],158243242,352436122,144,144,79.86111111111111,1.223463761502776,75.0,84.72222222222221,True
OpenAI_Codex,mfreeman451,1821930,916252207,137,137,94.16058394160584,13.039304414784395,70.8029197080292,70.8029197080292,True
OpenAI_Codex,242816,173255911,663396489,129,129,82.17054263565892,1.0072418688366669,0.0,0.0,True
OpenAI_Codex,patmmccann,1683175,39321023,126,126,77.77777777777779,13.11921023778741,67.46031746031747,75.39682539682539,True
Claude_Code,Jarred-Sumner,709451,357728969,1,122,100.0,14.232552982482826,0.0,100.0,True
