sample,outcome,term,effect,coef_log_odds,odds_ratio,ci_low,ci_high,p_value,n,event_rate_pct,aic
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Claude_Code]",agent=Claude_Code vs OpenAI_Codex,0.12025329364027741,1.127782475533152,0.45534192603417006,2.793270813424368,0.7949636767596614,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Cursor]",agent=Cursor vs OpenAI_Codex,0.5917624294832087,1.8071706211514391,0.9989221543436889,3.2693895512795144,0.050418211477099545,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.COLLABORATOR]",author_association=COLLABORATOR vs CONTRIBUTOR,-0.7550819948194675,0.4699720778749682,0.2592601346239747,0.8519387460107034,0.012848301623846627,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.MEMBER]",author_association=MEMBER vs CONTRIBUTOR,-0.25147970142155585,0.7776492426237137,0.4735503799117478,1.277030639624735,0.3203701259997285,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.NONE]",author_association=NONE vs CONTRIBUTOR,-3.8337900091396175,0.021627491711697516,0.003026757612169098,0.1545377785981142,0.00013285799744491307,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.OWNER]",author_association=OWNER vs CONTRIBUTOR,-2.9397286607548323,0.05288007523157677,0.02520335503381881,0.11094960780995368,7.536503926401371e-15,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,account_age_z,"account age, per SD",-0.052607566567725195,0.9487522615424083,0.7396736687555143,1.2169296972491745,0.6787318694620873,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,log_followers_z,"followers, log1p per SD",-0.1881326735006035,0.8285047793112429,0.6459731238887304,1.062614130460028,0.1384303752568358,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,log_github_total_churn_z,"GitHub total churn, log1p per SD",-0.46756533214252594,0.6265257951044562,0.49175823421835985,0.798226739518042,0.0001545430722848758,2003,16.525212181727408,1489.8724464718125
github_enriched_human_account_linked_no_extreme_pairs,has_human_review,log_github_changed_files_z,"GitHub changed files, log1p per SD",0.13708069552500884,1.1469206961539777,0.9146390891166719,1.4381925055671092,0.2351448406500105,2003,16.525212181727408,1489.8724464718125
