agent,rank,repo_id,prs,share_within_agent_pct
Claude_Code,1,715683924,28,6.1002178649237475
Claude_Code,2,995029641,14,3.0501089324618738
Claude_Code,3,3729629,12,2.6143790849673203
Claude_Code,4,842589907,12,2.6143790849673203
Claude_Code,5,707764474,12,2.6143790849673203
Claude_Code,6,25501620,12,2.6143790849673203
Claude_Code,7,999285986,10,2.178649237472767
Claude_Code,8,165561258,10,2.178649237472767
Claude_Code,9,839216423,9,1.9607843137254901
Claude_Code,10,36759907,7,1.5250544662309369
Copilot,1,41881900,197,3.9637826961770624
Copilot,2,696529789,169,3.4004024144869214
Copilot,3,136202695,85,1.710261569416499
Copilot,4,262395224,80,1.6096579476861168
Copilot,5,35890081,66,1.3279678068410463
Copilot,6,65080725,60,1.2072434607645874
Copilot,7,62963654,60,1.2072434607645874
Copilot,8,4127088,57,1.1468812877263581
Copilot,9,274495425,57,1.1468812877263581
Copilot,10,221931137,54,1.0865191146881288
Cursor,1,923332984,86,5.580791693705386
Cursor,2,33837371,68,4.412719013627515
Cursor,3,873328,51,3.309539260220636
Cursor,4,643978507,50,3.244646333549643
Cursor,5,156734327,46,2.9850746268656714
Cursor,6,964314175,46,2.9850746268656714
Cursor,7,797216527,40,2.5957170668397147
Cursor,8,881458615,35,2.2712524334847504
Cursor,9,899127822,34,2.2063595068137576
Cursor,10,883825890,31,2.011680726800779
Devin,1,839216423,343,7.105862854775223
Devin,2,710601088,327,6.774394033561218
Devin,3,350360184,220,4.5576962916925625
Devin,4,283046497,216,4.474829086389062
Devin,5,955904085,205,4.246944271804433
Devin,6,941289933,171,3.5425730267246736
Devin,7,959682770,148,3.0660865962295425
Devin,8,820087727,145,3.003936192251916
Devin,9,352436122,144,2.983219390926041
Devin,10,965250949,104,2.15454733789103
OpenAI_Codex,1,985853139,8913,40.887196660397265
OpenAI_Codex,2,922805069,3569,16.37231065645213
OpenAI_Codex,3,21764480,419,1.9221065186476445
OpenAI_Codex,4,134182879,306,1.4037341162438643
OpenAI_Codex,5,12670630,228,1.0459195375934676
OpenAI_Codex,6,600355571,227,1.041332171200514
OpenAI_Codex,7,792160692,165,0.7569154548373779
OpenAI_Codex,8,29301872,164,0.752328088444424
OpenAI_Codex,9,225880766,141,0.6468186614064866
OpenAI_Codex,10,916252207,137,0.6284691958346713
