agent,experience_quartile,prs,merged_rate,human_review_rate,approval_rate,changes_requested_rate,human_discussion_rate
Claude_Code,Q1 least,97,46.391752577319586,31.958762886597935,26.804123711340207,5.154639175257731,58.76288659793815
Claude_Code,Q2,203,70.44334975369459,20.19704433497537,13.30049261083744,0.9852216748768473,39.90147783251231
Claude_Code,Q3,57,28.07017543859649,24.561403508771928,10.526315789473683,1.7543859649122806,54.385964912280706
Claude_Code,Q4 most,101,65.34653465346535,26.732673267326735,17.82178217821782,2.9702970297029703,51.48514851485149
Cursor,Q1 least,336,61.60714285714286,26.488095238095237,22.916666666666664,1.488095238095238,38.095238095238095
Cursor,Q2,634,65.45741324921136,26.34069400630915,23.186119873817034,1.1041009463722398,38.958990536277604
Cursor,Q3,352,72.1590909090909,17.045454545454543,11.363636363636363,1.7045454545454544,23.295454545454543
Cursor,Q4 most,219,58.9041095890411,35.15981735159817,25.11415525114155,1.82648401826484,54.337899543378995
Devin,Q1 least,4827,53.76009944064637,36.855189558732135,28.361301015123264,4.619846695670189,50.90118085767558
OpenAI_Codex,Q1 least,1897,68.63468634686348,10.964681075382183,9.435951502372166,0.9488666315234582,19.18819188191882
OpenAI_Codex,Q2,6319,88.22598512422852,4.874188953948409,3.5132141161576196,0.332331065041937,8.814685868017092
OpenAI_Codex,Q3,6747,80.67289165555061,4.713205869275233,2.430709945160812,0.1333926189417519,6.269453090262339
OpenAI_Codex,Q4 most,6836,83.14803978935049,5.002925687536571,4.03744880046811,0.14628437682855472,8.894090111176126
