sample,outcome,term,effect,coef_log_hours,duration_ratio,ci_low,ci_high,p_value,n,median_hours,aic
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Claude_Code]",agent=Claude_Code vs OpenAI_Codex,0.2083920395062418,1.23169594837994,0.771108930458317,1.9673937745136343,0.38312930571537995,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Cursor]",agent=Cursor vs OpenAI_Codex,-0.2049567347924732,0.8146825630590915,0.5917992441771792,1.1215081551436092,0.20883119315927468,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,account_age_z,"account age, per SD",0.03950249350911644,1.0402930928620346,0.9010535139126729,1.2010493298640443,0.5900171314397298,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_followers_z,"followers, log1p per SD",-0.17260201233664288,0.8414724438630068,0.7312790101665496,0.9682704739734236,0.015943029856377234,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_prior_repo_prs_z,"prior observed author-repo PRs, log1p per SD",-0.0891635758011876,0.9146959392154054,0.7326570624777617,1.1419649165567798,0.43098883430065327,1429,3.5980555555555553,5748.503834982582
duration_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_timeline_events_z,"timeline events, log1p per SD",-0.014275188040185205,0.985826219346623,0.8425848352545252,1.1534189722957473,0.8585637503335395,1429,3.5980555555555553,5748.503834982582
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Claude_Code]",agent=Claude_Code vs OpenAI_Codex,-0.2867876851273361,0.7506710905560416,0.3427601235476139,1.6440275501252068,0.47336552387225306,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(agent, Treatment(reference='OpenAI_Codex'))[T.Cursor]",agent=Cursor vs OpenAI_Codex,-0.32358707257536545,0.7235489539086414,0.4264322629790104,1.2276817073947752,0.23031465309755716,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.COLLABORATOR]",author_association=COLLABORATOR vs CONTRIBUTOR,0.4123818310591472,1.510411048087839,0.7798454129481697,2.9253766147848426,0.22144404510694005,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.MEMBER]",author_association=MEMBER vs CONTRIBUTOR,-0.01213283743604384,0.9879404686662308,0.5959320256007673,1.6378149314001138,0.9624791393268799,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.NONE]",author_association=NONE vs CONTRIBUTOR,2.0585271840110693,7.834422646044558,2.5477667123838943,24.09097265401725,0.00032847562106008986,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,"C(author_association, Treatment(reference='CONTRIBUTOR'))[T.OWNER]",author_association=OWNER vs CONTRIBUTOR,0.32791215798918183,1.388067036334319,0.2792384912086107,6.899944520608865,0.6885799352382662,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,account_age_z,"account age, per SD",-0.016007626819949654,0.98411981432203,0.7646268469215929,1.266620198911926,0.9010587381769876,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_followers_z,"followers, log1p per SD",-0.13329387561117798,0.8752078520699008,0.6829014584642183,1.1216681042788321,0.29235855996994475,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_github_total_churn_z,"GitHub total churn, log1p per SD",0.2922108661774407,1.3393854189472183,0.963540425761013,1.8618350123416307,0.08204535650433181,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_github_changed_files_z,"GitHub changed files, log1p per SD",-0.1377312102452585,0.8713328656198676,0.6141988642105045,1.2361158688973448,0.4401555631849121,331,3.4558333333333335,1344.5332897984915
duration_github_enriched_human_account_linked_no_extreme_pairs,log_review_latency_hours,log_github_commits_z,"GitHub commits, log1p per SD",0.4426276007247428,1.5567924779889089,1.1852357023502202,2.044827720526012,0.0014654451097350389,331,3.4558333333333335,1344.5332897984915
