agent,task_category,prs,merged_rate,human_review_rate,approval_rate,human_discussion_rate,share_within_agent_pct
Claude_Code,feature,196,52.55102040816326,23.97959183673469,14.285714285714285,52.55102040816326,42.79475982532751
Claude_Code,bugfix,101,58.415841584158414,23.762376237623762,15.841584158415841,48.51485148514851,22.05240174672489
Claude_Code,ci_build,45,60.0,26.666666666666668,22.22222222222222,40.0,9.82532751091703
Claude_Code,docs,34,76.47058823529412,26.47058823529412,17.647058823529413,50.0,7.423580786026202
Claude_Code,dependency,30,80.0,16.666666666666664,13.333333333333334,30.0,6.550218340611353
Claude_Code,test,21,71.42857142857143,38.095238095238095,28.57142857142857,52.38095238095239,4.585152838427948
Claude_Code,refactor,14,42.857142857142854,21.428571428571427,21.428571428571427,35.714285714285715,3.056768558951965
Claude_Code,other,10,70.0,40.0,40.0,50.0,2.1834061135371177
Claude_Code,security,5,40.0,0.0,0.0,60.0,1.0917030567685588
Claude_Code,performance,2,50.0,50.0,0.0,50.0,0.43668122270742354
Cursor,feature,419,63.72315035799523,28.162291169451077,22.434367541766107,41.288782816229116,27.19013627514601
Cursor,bugfix,377,64.19098143236074,27.586206896551722,22.546419098143236,40.58355437665783,24.46463335496431
Cursor,docs,230,73.04347826086956,25.65217391304348,23.043478260869566,33.47826086956522,14.925373134328357
Cursor,other,156,73.07692307692307,20.51282051282051,17.307692307692307,26.923076923076923,10.123296560674886
Cursor,ci_build,100,67.0,26.0,18.0,37.0,6.489292667099286
Cursor,dependency,83,61.44578313253012,20.481927710843372,15.66265060240964,36.144578313253014,5.386112913692408
Cursor,test,73,57.534246575342465,17.80821917808219,15.068493150684931,38.35616438356164,4.737183646982479
Cursor,refactor,46,58.69565217391305,32.608695652173914,23.91304347826087,36.95652173913043,2.9850746268656714
Cursor,performance,31,32.25806451612903,12.903225806451612,6.451612903225806,32.25806451612903,2.011680726800779
Cursor,security,26,65.38461538461539,19.230769230769234,19.230769230769234,34.61538461538461,1.6872160934458142
Devin,feature,1654,57.31559854897219,36.81983071342201,26.844014510278114,49.879081015719464,34.26558939299772
Devin,bugfix,1099,41.21929026387625,29.390354868061873,22.02001819836215,51.68334849863512,22.767764657136937
Devin,docs,518,67.37451737451737,55.5984555984556,47.10424710424711,65.25096525096525,10.731303086803399
Devin,dependency,379,57.25593667546174,39.050131926121374,30.606860158311346,48.284960422163586,7.851667702506733
Devin,ci_build,307,54.071661237785015,41.36807817589577,35.50488599348534,52.44299674267101,6.360058007043712
Devin,other,278,70.14388489208633,26.618705035971225,20.503597122302157,38.1294964028777,5.759270768593329
Devin,test,253,45.8498023715415,28.85375494071146,19.76284584980237,41.50197628458498,5.241350735446447
Devin,refactor,184,45.65217391304348,41.30434782608695,30.434782608695656,48.91304347826087,3.8118914439610525
Devin,security,106,44.339622641509436,40.56603773584906,33.0188679245283,54.71698113207547,2.19598094054278
Devin,performance,49,40.816326530612244,36.734693877551024,32.6530612244898,46.93877551020408,1.015123264967889
OpenAI_Codex,feature,7719,80.45083560046639,4.676771602539189,2.927840393833398,8.239409249902838,35.40988118721042
OpenAI_Codex,bugfix,3443,80.9758931164682,9.20708684286959,6.6511762997386,15.161196630845195,15.794302490939952
OpenAI_Codex,docs,2767,89.33863389953018,3.6863028550777015,3.0719190458980847,5.4933140585471625,12.693242809303179
OpenAI_Codex,test,2763,84.18385812522621,3.727832066594282,2.859211002533478,5.935577271082157,12.674893343731364
OpenAI_Codex,other,1820,82.36263736263736,4.8901098901098905,3.571428571428571,7.802197802197802,8.349006835175926
OpenAI_Codex,ci_build,1440,83.81944444444444,5.486111111111111,4.097222222222222,8.402777777777779,6.60580760585348
OpenAI_Codex,dependency,919,84.87486398258977,5.223068552774755,4.026115342763874,9.031556039173013,4.215789715124547
OpenAI_Codex,refactor,683,79.20937042459737,7.613469985358712,6.149341142020498,12.88433382137628,3.133171246387449
OpenAI_Codex,performance,123,65.85365853658537,5.691056910569105,3.2520325203252036,13.821138211382115,0.564246066333318
OpenAI_Codex,security,122,81.9672131147541,14.754098360655737,12.295081967213115,22.131147540983605,0.5596586999403642
